course_code,course_name,wait_list_size_all_requests,course_type,date_pulled,datetime_pulled
RSM2017HY.2025-0301,PHARMACEUTICAL STRATEGY,1,summer,2025-05-12,2025-05-13T02:00:18Z
RSM2023HY.2025-0301,STRATEGIC CHANGE AND IMPLEMENTATION,6,summer,2025-05-12,2025-05-13T02:00:18Z
RSM2123HY.2025-0301,INTERNATIONAL BUSINESS IN THE WORLD ECONOMY,22,summer,2025-05-12,2025-05-13T02:00:18Z
RSM2204HY.2025-0301,TAXATION & DECISION-MAKING,9,summer,2025-05-12,2025-05-13T02:00:18Z
RSM2309HY.2025-0108,MERGERS AND ACQUISITIONS,14,summer,2025-05-12,2025-05-13T02:00:18Z
RSM2313HY.2025-0108,SUSTAINABLE FINANCE,10,summer,2025-05-12,2025-05-13T02:00:18Z
RSM2525HY.2025-0108,ONE TO ONE MARKETING,6,summer,2025-05-12,2025-05-13T02:00:18Z
RSM2526HY.2025-0301,CREATIVE THINKING FOR BUSINESS INNOVATION,1,summer,2025-05-12,2025-05-13T02:00:18Z
RSM2604HY.2025-0301,MANAGERIAL NEGOTIATIONS,17,summer,2025-05-12,2025-05-13T02:00:18Z
RSM2618HY.2025-0301,SOCIALLY INTELLIGENT MANAGER,8,summer,2025-05-12,2025-05-13T02:00:18Z
RSM2619HY.2025-0301,POWER AND INFLUENCE IN ORGANIZATIONS,23,summer,2025-05-12,2025-05-13T02:00:18Z
RSM2621HY.2025-0301,EFFECTIVE LEADERSHIP,17,summer,2025-05-12,2025-05-13T02:00:18Z
RSM2700HY.2025-0701,INDEPENDENT STUDY PROJECT,1,summer,2025-05-12,2025-05-13T02:00:18Z
RSM2700HY.2025-0702,INDEPENDENT STUDY PROJECT,4,summer,2025-05-12,2025-05-13T02:00:18Z
RSM2700HY.2025-0703,INDEPENDENT STUDY PROJECT,2,summer,2025-05-12,2025-05-13T02:00:18Z
RSM2701HY.2025-0701,GLOBAL CONSULTING PROJECT,2,summer,2025-05-12,2025-05-13T02:00:18Z
