course_code,course_name,wait_list_size_all_requests,course_type,date_pulled,datetime_pulled
RSM2019HF.2025-0101,CORPORATION 360,0,Fall,2025-08-10,2025-08-11T01:25:44Z
RSM2021HF.2025-0104,CORPORATE STRATEGY,2,Fall,2025-08-10,2025-08-11T01:25:44Z
RSM2021HF.2025-0108,CORPORATE STRATEGY,9,Fall,2025-08-10,2025-08-11T01:25:44Z
RSM2023HF.2025-0103,STRATEGIC CHANGE AND IMPLEMENTATION,5,Fall,2025-08-10,2025-08-11T01:25:44Z
RSM2040HF.2025-0102,SPECIAL TOPICS IN STRATEGY,0,Fall,2025-08-10,2025-08-11T01:25:44Z
RSM2057HF.2025-0104,VENTURE CAPITAL STRATEGY,10,Fall,2025-08-10,2025-08-11T01:25:44Z
RSM2059HF.2025-0108,HEALTHCARE AND LIFE SCIENCES CONSULTING: FIELD APPLICATION,0,Fall,2025-08-10,2025-08-11T01:25:44Z
RSM2061HF.2025-0301,STRATEGIC NETWORKS,8,Fall,2025-08-10,2025-08-11T01:25:44Z
RSM2062HF.2025-0108,MANAGEMENT CONSULTING PRACTICUM,2,Fall,2025-08-10,2025-08-11T01:25:44Z
RSM2063HF.2025-0102,CATASTROPHIC FAILURE IN ORGANIZATIONS,3,Fall,2025-08-10,2025-08-11T01:25:44Z
RSM2063HF.2025-0107,CATASTROPHIC FAILURE IN ORGANIZATIONS,0,Fall,2025-08-10,2025-08-11T01:25:44Z
RSM2128HF.2025-0101,REAL ESTATE ECONOMICS,1,Fall,2025-08-10,2025-08-11T01:25:44Z
RSM2212HF.2025-0101,BUSINESS ANALYSIS AND VALUATION,0,Fall,2025-08-10,2025-08-11T01:25:44Z
RSM2212HF.2025-0107,BUSINESS ANALYSIS AND VALUATION,0,Fall,2025-08-10,2025-08-11T01:25:44Z
RSM2216HF.2025-0102,SPECIAL TOPICS IN ACCOUNTING,1,Fall,2025-08-10,2025-08-11T01:25:44Z
RSM2300HF.2025-0102,CORPORATE FINANCING,10,Fall,2025-08-10,2025-08-11T01:25:44Z
RSM2300HF.2025-0107,CORPORATE FINANCING,4,Fall,2025-08-10,2025-08-11T01:25:44Z
RSM2302HF.2025-0103,SECURITY ANALYSIS AND PORTFOLIO MANAGEMENT,7,Fall,2025-08-10,2025-08-11T01:25:44Z
RSM2302HF.2025-0108,SECURITY ANALYSIS AND PORTFOLIO MANAGEMENT,10,Fall,2025-08-10,2025-08-11T01:25:44Z
RSM2306HF.2025-0104,OPTIONS AND FUTURES MARKETS,7,Fall,2025-08-10,2025-08-11T01:25:44Z
RSM2312HY.2026-0104,VALUE INVESTING,1,Fall,2025-08-10,2025-08-11T01:25:44Z
RSM2314HF.2025-0103,PRIVATE EQUITY AND ENTREPRENEURIAL FINANCE,7,Fall,2025-08-10,2025-08-11T01:25:44Z
RSM2314HF.2025-0108,PRIVATE EQUITY AND ENTREPRENEURIAL FINANCE,3,Fall,2025-08-10,2025-08-11T01:25:44Z
RSM2329HF.2025-0101,BLOCKCHAIN AND DECENTRALIZED FINANCE,0,Fall,2025-08-10,2025-08-11T01:25:44Z
RSM2406HF.2025-0301,OPERATIONS MANAGEMENT STRATEGY,0,Fall,2025-08-10,2025-08-11T01:25:44Z
RSM2500HF.2025-0108,MARKETING STRATEGY,1,Fall,2025-08-10,2025-08-11T01:25:44Z
RSM2505HF.2025-0108,STRATEGIC MARKETING COMMUNICATION,0,Fall,2025-08-10,2025-08-11T01:25:44Z
RSM2508HF.2025-0104,SALES MANAGEMENT,0,Fall,2025-08-10,2025-08-11T01:25:44Z
RSM2511HF.2025-0108,FINTECH MARKETING: INNOVATION IN THE MARKETING OF FINANCIAL,0,Fall,2025-08-10,2025-08-11T01:25:44Z
RSM2517HF.2025-0104,FUTURES THINKING: DEVELOPING BUSINESS INSIGHT,0,Fall,2025-08-10,2025-08-11T01:25:44Z
RSM2603HF.2025-0301,ADVANCED NEGOTIATIONS AND CONFLICT MANAGEMENT,0,Fall,2025-08-10,2025-08-11T01:25:44Z
