course_code,course_name,wait_list_size_all_requests,course_type,date_pulled,datetime_pulled
RSM2017HY.2025-0301,PHARMACEUTICAL STRATEGY,0,summer,2025-05-20,2025-05-21T02:00:20Z
RSM2023HY.2025-0301,STRATEGIC CHANGE AND IMPLEMENTATION,2,summer,2025-05-20,2025-05-21T02:00:20Z
RSM2123HY.2025-0301,INTERNATIONAL BUSINESS IN THE WORLD ECONOMY,16,summer,2025-05-20,2025-05-21T02:00:20Z
RSM2204HY.2025-0301,TAXATION & DECISION-MAKING,8,summer,2025-05-20,2025-05-21T02:00:20Z
RSM2309HY.2025-0108,MERGERS AND ACQUISITIONS,12,summer,2025-05-20,2025-05-21T02:00:20Z
RSM2313HY.2025-0108,SUSTAINABLE FINANCE,3,summer,2025-05-20,2025-05-21T02:00:20Z
RSM2525HY.2025-0108,ONE TO ONE MARKETING,2,summer,2025-05-20,2025-05-21T02:00:20Z
RSM2526HY.2025-0301,CREATIVE THINKING FOR BUSINESS INNOVATION,0,summer,2025-05-20,2025-05-21T02:00:20Z
RSM2604HY.2025-0301,MANAGERIAL NEGOTIATIONS,16,summer,2025-05-20,2025-05-21T02:00:20Z
RSM2618HY.2025-0301,SOCIALLY INTELLIGENT MANAGER,3,summer,2025-05-20,2025-05-21T02:00:20Z
RSM2619HY.2025-0301,POWER AND INFLUENCE IN ORGANIZATIONS,18,summer,2025-05-20,2025-05-21T02:00:20Z
RSM2621HY.2025-0301,EFFECTIVE LEADERSHIP,12,summer,2025-05-20,2025-05-21T02:00:20Z
RSM2700HY.2025-0701,INDEPENDENT STUDY PROJECT,0,summer,2025-05-20,2025-05-21T02:00:20Z
RSM2700HY.2025-0702,INDEPENDENT STUDY PROJECT,5,summer,2025-05-20,2025-05-21T02:00:20Z
RSM2700HY.2025-0703,INDEPENDENT STUDY PROJECT,2,summer,2025-05-20,2025-05-21T02:00:20Z
RSM2701HY.2025-0701,GLOBAL CONSULTING PROJECT,1,summer,2025-05-20,2025-05-21T02:00:20Z
