course_code,course_name,wait_list_size_all_requests,course_type,date_pulled,datetime_pulled
RSM2017HY.2026-0108,PHARMACEUTICAL STRATEGY,0,summer,2026-05-14,2026-05-15T02:20:02Z
RSM2061HY.2026-0301,STRATEGIC NETWORKS,0,summer,2026-05-14,2026-05-15T02:20:02Z
RSM2083HY.2026-0108,SPECIAL TOPICS IN STRATEGIC MANAGEMENT,0,summer,2026-05-14,2026-05-15T02:20:02Z
RSM2123HY.2026-0301,INTERNATIONAL BUSINESS IN THE WORLD ECONOMY,6,summer,2026-05-14,2026-05-15T02:20:02Z
RSM2132HY.2026-0301,BUSINESS AND THE CITY,0,summer,2026-05-14,2026-05-15T02:20:02Z
RSM2220HY.2026-0301,WHITE COLLAR CRIME: CREATIVE ACCOUNTING AND CORPORATE FRAUD,24,summer,2026-05-14,2026-05-15T02:20:02Z
RSM2313HY.2026-0108,SUSTAINABLE FINANCE,0,summer,2026-05-14,2026-05-15T02:20:02Z
RSM2401HY.2026-0104,DATA AND INFORMATION MANAGEMENT FOR BUSINESS,0,summer,2026-05-14,2026-05-15T02:20:02Z
RSM2525HY.2026-0108,ONE TO ONE MARKETING,1,summer,2026-05-14,2026-05-15T02:20:02Z
RSM2526HY.2026-0301,CREATIVE THINKING FOR BUSINESS INNOVATION,0,summer,2026-05-14,2026-05-15T02:20:02Z
RSM2604HY.2026-0301,MANAGERIAL NEGOTIATIONS,14,summer,2026-05-14,2026-05-15T02:20:02Z
RSM2618HY.2026-0301,SOCIALLY INTELLIGENT MANAGER,0,summer,2026-05-14,2026-05-15T02:20:02Z
RSM2621HY.2026-0301,EFFECTIVE LEADERSHIP,12,summer,2026-05-14,2026-05-15T02:20:02Z
RSM2700HY.2026-0701,INDEPENDENT STUDY PROJECT,0,summer,2026-05-14,2026-05-15T02:20:02Z
RSM2700HY.2026-0702,INDEPENDENT STUDY PROJECT,0,summer,2026-05-14,2026-05-15T02:20:02Z
RSM2711HY.2026-0701,GLOBAL PRACTICUM: STRATEGY,0,summer,2026-05-14,2026-05-15T02:20:02Z
RSM2798HY.2026-0101,SPECIAL TOPICS IN EXPERIENTIAL LEARNING,0,summer,2026-05-14,2026-05-15T02:20:02Z
