course_code,course_name,wait_list_size_all_requests,course_type,date_pulled,datetime_pulled
RSM2052HS.2026-0403,MANAGEMENT CONSULTING,1,term 4,2026-03-08,2026-03-09T02:50:41Z
RSM2125HS.2026-0403,GAME THEORY AND APPLICATIONS FOR MANAGEMENT,0,term 4,2026-03-08,2026-03-09T02:50:41Z
RSM2212HS.2026-0403,BUSINESS ANALYSIS AND VALUATION,0,term 4,2026-03-08,2026-03-09T02:50:41Z
RSM2417HS.2026-0404,SPECIAL TOPICS IN OPERATION MANAGEMENT,0,term 4,2026-03-08,2026-03-09T02:50:41Z
RSM2522HS.2026-0404,MARKETING AND BEHAVIOURAL ECONOMICS,0,term 4,2026-03-08,2026-03-09T02:50:41Z
RSM2523HS.2026-0404,BUSINESS DESIGN FUNDAMENTALS,2,term 4,2026-03-08,2026-03-09T02:50:41Z
RSM2604HS.2026-0401,MANAGERIAL NEGOTIATIONS,3,term 4,2026-03-08,2026-03-09T02:50:41Z
