course_code,course_name,wait_list_size_all_requests,course_type,date_pulled,datetime_pulled
RSM2014HS.2025-0404,SUSTAINABILITY STRATEGY,0,term 4,2025-03-02,2025-03-03T01:00:24Z
RSM2052HS.2025-0403,MANAGEMENT CONSULTING,7,term 4,2025-03-02,2025-03-03T01:00:24Z
RSM2125HS.2025-0403,GAME THEORY AND APPLICATIONS FOR MANAGEMENT,0,term 4,2025-03-02,2025-03-03T01:00:24Z
RSM2212HS.2025-0404,BUSINESS ANALYSIS AND VALUATION,15,term 4,2025-03-02,2025-03-03T01:00:24Z
RSM2401HS.2025-0403,DATA AND INFORMATION MANAGEMENT FOR BUSINESS,0,term 4,2025-03-02,2025-03-03T01:00:24Z
RSM2522HS.2025-0403,MARKETING AND BEHAVIOURAL ECONOMICS,0,term 4,2025-03-02,2025-03-03T01:00:24Z
RSM2523HS.2025-0404,BUSINESS DESIGN FUNDAMENTALS,1,term 4,2025-03-02,2025-03-03T01:00:24Z
RSM2604HS.2025-0401,MANAGERIAL NEGOTIATIONS,4,term 4,2025-03-02,2025-03-03T01:00:24Z
