course_code,course_name,wait_list_size_all_requests,course_type,date_pulled,datetime_pulled
RSM2011HS.2025-0102,INTERNATIONAL STRATEGY,4,spring class,2025-01-20,2025-01-21T03:00:22Z
RSM2023HS.2025-0107,STRATEGIC CHANGE AND IMPLEMENTATION,5,spring class,2025-01-20,2025-01-21T03:00:22Z
RSM2030HS.2025-0104,CANADIAN BUSINESS HISTORY,5,spring class,2025-01-20,2025-01-21T03:00:22Z
RSM2054HS.2025-0104,TECHNOLOGY STRATEGY,0,spring class,2025-01-20,2025-01-21T03:00:22Z
RSM2061HS.2025-0301,STRATEGIC NETWORKS,31,spring class,2025-01-20,2025-01-21T03:00:22Z
RSM2085HS.2025-0108,HEALTHCARE INNOVATION,0,spring class,2025-01-20,2025-01-21T03:00:22Z
RSM2122HS.2025-0101,CLEAN ENERGY: POLICY CONTEXT AND BUSINESS OPPORTUNITIES,0,spring class,2025-01-20,2025-01-21T03:00:22Z
RSM2125HS.2025-0101,GAME THEORY AND APPLICATIONS FOR MANAGEMENT,7,spring class,2025-01-20,2025-01-21T03:00:22Z
RSM2130HS.2025-0108,REAL ESTATE INVESTMENT,2,spring class,2025-01-20,2025-01-21T03:00:22Z
RSM2204HS.2025-0101,TAXATION & DECISION-MAKING,0,spring class,2025-01-20,2025-01-21T03:00:22Z
RSM2204HS.2025-0102,TAXATION & DECISION-MAKING,0,spring class,2025-01-20,2025-01-21T03:00:22Z
RSM2209HS.2025-0104,FINANCIAL STATEMENT ANALYSIS,0,spring class,2025-01-20,2025-01-21T03:00:22Z
RSM2209HS.2025-0108,FINANCIAL STATEMENT ANALYSIS,3,spring class,2025-01-20,2025-01-21T03:00:22Z
RSM2303HS.2025-0108,RISK MODELLING AND FINANCIAL TRADING STRATEGIES,0,spring class,2025-01-20,2025-01-21T03:00:22Z
RSM2308HS.2025-0108,FINANCIAL RISK MANAGEMENT,0,spring class,2025-01-20,2025-01-21T03:00:22Z
RSM2309HS.2025-0102,MERGERS AND ACQUISITIONS,1,spring class,2025-01-20,2025-01-21T03:00:22Z
RSM2309HS.2025-0104,MERGERS AND ACQUISITIONS,7,spring class,2025-01-20,2025-01-21T03:00:22Z
RSM2309HS.2025-0107,MERGERS AND ACQUISITIONS,0,spring class,2025-01-20,2025-01-21T03:00:22Z
RSM2314HS.2025-0102,PRIVATE EQUITY AND ENTREPRENEURIAL FINANCE,0,spring class,2025-01-20,2025-01-21T03:00:22Z
RSM2408HS.2025-0103,MODELLING AND OPTIMIZATION FOR DECISION MAKING,0,spring class,2025-01-20,2025-01-21T03:00:22Z
RSM2409HS.2025-0104,DATA SCIENCE FOR MANAGERS,0,spring class,2025-01-20,2025-01-21T03:00:22Z
RSM2504HS.2025-0103,CONSUMER BEHAVIOUR,2,spring class,2025-01-20,2025-01-21T03:00:22Z
RSM2506HS.2025-0103,MARKETING RESEARCH,1,spring class,2025-01-20,2025-01-21T03:00:22Z
RSM2512HS.2025-0108,BRANDING,0,spring class,2025-01-20,2025-01-21T03:00:22Z
RSM2521HS.2025-0104,DIGITAL MARKETING,1,spring class,2025-01-20,2025-01-21T03:00:22Z
RSM2522HS.2025-0103,MARKETING AND BEHAVIOURAL ECONOMICS,2,spring class,2025-01-20,2025-01-21T03:00:22Z
RSM2527HS.2025-0104,DESIGN RESEARCH AND INSIGHT-DRIVEN STORYTELLING,0,spring class,2025-01-20,2025-01-21T03:00:22Z
RSM2528HS.2025-0102,SERVICE DESIGN: INNOVATING SERVICE-BASED ORGANIZATIONS,1,spring class,2025-01-20,2025-01-21T03:00:22Z
RSM2604HS.2025-0301,MANAGERIAL NEGOTIATIONS,3,spring class,2025-01-20,2025-01-21T03:00:22Z
RSM2604HS.2025-0302,MANAGERIAL NEGOTIATIONS,3,spring class,2025-01-20,2025-01-21T03:00:22Z
RSM2609HS.2025-0301,ALIGNING PEOPLE AND STRATEGY,16,spring class,2025-01-20,2025-01-21T03:00:22Z
RSM2618HS.2025-0301,SOCIALLY INTELLIGENT MANAGER,23,spring class,2025-01-20,2025-01-21T03:00:22Z
RSM2622HS.2025-0301,LEADERSHIP DEVELOPMENT LAB,12,spring class,2025-01-20,2025-01-21T03:00:22Z
RSM2622HS.2025-0302,LEADERSHIP DEVELOPMENT LAB,9,spring class,2025-01-20,2025-01-21T03:00:22Z
RSM2625HS.2025-0108,BUSINESS PROBLEM SOLVING: A MODEL-BASED APPROACH,4,spring class,2025-01-20,2025-01-21T03:00:22Z
RSM2700HS.2025-0101,INDEPENDENT STUDY PROJECT,0,spring class,2025-01-20,2025-01-21T03:00:22Z
RSM2709HS.2025-0116,GLOBAL PRACTICUM,10,spring class,2025-01-20,2025-01-21T03:00:22Z
RSM2709HS.2025-0117,GLOBAL PRACTICUM,2,spring class,2025-01-20,2025-01-21T03:00:22Z
