course_code,course_name,wait_list_size_all_requests,course_type,date_pulled,datetime_pulled
RSM2012HF.2026-0103,ENTREPRENEURSHIP,1,fall,2026-07-28,2026-07-29T01:51:30Z
RSM2021HF.2026-0104,CORPORATE STRATEGY,9,fall,2026-07-28,2026-07-29T01:51:30Z
RSM2021HF.2026-0108,CORPORATE STRATEGY,7,fall,2026-07-28,2026-07-29T01:51:30Z
RSM2040HF.2026-0103,SPECIAL TOPICS IN STRATEGY,1,fall,2026-07-28,2026-07-29T01:51:30Z
RSM2052HF.2026-0108,MANAGEMENT CONSULTING,1,fall,2026-07-28,2026-07-29T01:51:30Z
RSM2057HF.2026-0104,VENTURE CAPITAL STRATEGY,9,fall,2026-07-28,2026-07-29T01:51:30Z
RSM2059HF.2026-0108,HEALTHCARE AND LIFE SCIENCES CONSULTING: FIELD APPLICATION,2,fall,2026-07-28,2026-07-29T01:51:30Z
RSM2087HF.2026-0102,SPECIAL TOPICS IN STRATEGIC MANAGEMENT,0,fall,2026-07-28,2026-07-29T01:51:30Z
RSM2128HF.2026-0101,REAL ESTATE ECONOMICS,2,fall,2026-07-28,2026-07-29T01:51:30Z
RSM2212HF.2026-0101,BUSINESS ANALYSIS AND VALUATION,2,fall,2026-07-28,2026-07-29T01:51:30Z
RSM2212HF.2026-0102,BUSINESS ANALYSIS AND VALUATION,2,fall,2026-07-28,2026-07-29T01:51:30Z
RSM2300HF.2026-0103,CORPORATE FINANCING,0,fall,2026-07-28,2026-07-29T01:51:30Z
RSM2300HF.2026-0108,CORPORATE FINANCING,2,fall,2026-07-28,2026-07-29T01:51:30Z
RSM2302HF.2026-0104,SECURITY ANALYSIS AND PORTFOLIO MANAGEMENT,1,fall,2026-07-28,2026-07-29T01:51:30Z
RSM2302HF.2026-0108,SECURITY ANALYSIS AND PORTFOLIO MANAGEMENT,0,fall,2026-07-28,2026-07-29T01:51:30Z
RSM2306HF.2026-0104,OPTIONS AND FUTURES MARKETS,1,fall,2026-07-28,2026-07-29T01:51:30Z
RSM2312HY.2027-0104,VALUE INVESTING,0,fall,2026-07-28,2026-07-29T01:51:30Z
RSM2314HF.2026-0104,PRIVATE EQUITY AND ENTREPRENEURIAL FINANCE,2,fall,2026-07-28,2026-07-29T01:51:30Z
RSM2314HF.2026-0108,PRIVATE EQUITY AND ENTREPRENEURIAL FINANCE,1,fall,2026-07-28,2026-07-29T01:51:30Z
RSM2328HF.2026-0108,MACHINE LEARNING AND FINANCIAL INNOVATION,0,fall,2026-07-28,2026-07-29T01:51:30Z
RSM2406HF.2026-0301,OPERATIONS MANAGEMENT STRATEGY,0,fall,2026-07-28,2026-07-29T01:51:30Z
RSM2417HF.2026-0108,SPECIAL TOPICS IN OPERATION MANAGEMENT,2,fall,2026-07-28,2026-07-29T01:51:30Z
RSM2500HF.2026-0108,MARKETING STRATEGY,2,fall,2026-07-28,2026-07-29T01:51:30Z
RSM2505HF.2026-0103,STRATEGIC MARKETING COMMUNICATION,1,fall,2026-07-28,2026-07-29T01:51:30Z
RSM2511HF.2026-0108,FINTECH FOUNDERS JOURNEY: MARKETING FROM STARTUP TO,0,fall,2026-07-28,2026-07-29T01:51:30Z
RSM2513HF.2026-0104,PRICING STRATEGY,1,fall,2026-07-28,2026-07-29T01:51:30Z
RSM2517HF.2026-0104,FUTURES THINKING: DEVELOPING BUSINESS INSIGHT,1,fall,2026-07-28,2026-07-29T01:51:30Z
RSM2521HF.2026-0101,DIGITAL MARKETING,0,fall,2026-07-28,2026-07-29T01:51:30Z
RSM2603HF.2026-0301,ADVANCED NEGOTIATIONS AND CONFLICT MANAGEMENT,2,fall,2026-07-28,2026-07-29T01:51:30Z
RSM2604HF.2026-0301,MANAGERIAL NEGOTIATIONS,2,fall,2026-07-28,2026-07-29T01:51:30Z
RSM2615HF.2026-0102,SPECIAL TOPICS IN OBHRM,1,fall,2026-07-28,2026-07-29T01:51:30Z
RSM2621HF.2026-0301,EFFECTIVE LEADERSHIP,3,fall,2026-07-28,2026-07-29T01:51:30Z
RSM2622HF.2026-0301,LEADERSHIP DEVELOPMENT LAB,3,fall,2026-07-28,2026-07-29T01:51:30Z
RSM2700HF.2026-0101,INDEPENDENT STUDY PROJECT,3,fall,2026-07-28,2026-07-29T01:51:30Z
RSM2702HY.2027-0104,ONBOARD,1,fall,2026-07-28,2026-07-29T01:51:30Z
RSM2711HY.2027-0101,GLOBAL PRACTICUM: STRATEGY,0,fall,2026-07-28,2026-07-29T01:51:30Z
RSM2123HF.2026-0201,INTERNATIONAL BUSINESS IN THE WORLD ECONOMY,2,Fall Intensive,2026-07-28,2026-07-29T01:51:30Z
RSM2204HF.2026-0203,TAXATION & DECISION-MAKING,1,Fall Intensive,2026-07-28,2026-07-29T01:51:30Z
RSM2304HF.2026-0208,FINANCIAL INSTITUTIONS AND CAPITAL MARKETS,6,Fall Intensive,2026-07-28,2026-07-29T01:51:30Z
RSM2524HF.2026-0203,BUSINESS DESIGN PRACTICUM,1,Fall Intensive,2026-07-28,2026-07-29T01:51:30Z
RSM2613HF.2026-0201,C-SUITE: LIVING OUT LEADERSHIP DAY TO DAY FOR ORGANIZATIONAL,4,Fall Intensive,2026-07-28,2026-07-29T01:51:30Z
RSM2620HF.2026-0201,LEADING TEAMS,7,Fall Intensive,2026-07-28,2026-07-29T01:51:30Z
