course_code,course_name,wait_list_size_all_requests,course_type,date_pulled,datetime_pulled
RSM2019HF.2025-0101,CORPORATION 360,0,Fall,2025-09-06,2025-09-07T02:11:48Z
RSM2021HF.2025-0104,CORPORATE STRATEGY,0,Fall,2025-09-06,2025-09-07T02:11:48Z
RSM2021HF.2025-0108,CORPORATE STRATEGY,1,Fall,2025-09-06,2025-09-07T02:11:48Z
RSM2023HF.2025-0103,STRATEGIC CHANGE AND IMPLEMENTATION,1,Fall,2025-09-06,2025-09-07T02:11:48Z
RSM2040HF.2025-0102,SPECIAL TOPICS IN STRATEGY,0,Fall,2025-09-06,2025-09-07T02:11:48Z
RSM2057HF.2025-0104,VENTURE CAPITAL STRATEGY,5,Fall,2025-09-06,2025-09-07T02:11:48Z
RSM2059HF.2025-0108,HEALTHCARE AND LIFE SCIENCES CONSULTING: FIELD APPLICATION,0,Fall,2025-09-06,2025-09-07T02:11:48Z
RSM2061HF.2025-0301,STRATEGIC NETWORKS,7,Fall,2025-09-06,2025-09-07T02:11:48Z
RSM2062HF.2025-0108,MANAGEMENT CONSULTING PRACTICUM,0,Fall,2025-09-06,2025-09-07T02:11:48Z
RSM2063HF.2025-0102,CATASTROPHIC FAILURE IN ORGANIZATIONS,5,Fall,2025-09-06,2025-09-07T02:11:48Z
RSM2063HF.2025-0107,CATASTROPHIC FAILURE IN ORGANIZATIONS,0,Fall,2025-09-06,2025-09-07T02:11:48Z
RSM2128HF.2025-0101,REAL ESTATE ECONOMICS,0,Fall,2025-09-06,2025-09-07T02:11:48Z
RSM2212HF.2025-0101,BUSINESS ANALYSIS AND VALUATION,0,Fall,2025-09-06,2025-09-07T02:11:48Z
RSM2212HF.2025-0107,BUSINESS ANALYSIS AND VALUATION,0,Fall,2025-09-06,2025-09-07T02:11:48Z
RSM2216HF.2025-0102,SPECIAL TOPICS IN ACCOUNTING,1,Fall,2025-09-06,2025-09-07T02:11:48Z
RSM2300HF.2025-0102,CORPORATE FINANCING,6,Fall,2025-09-06,2025-09-07T02:11:48Z
RSM2300HF.2025-0107,CORPORATE FINANCING,5,Fall,2025-09-06,2025-09-07T02:11:48Z
RSM2302HF.2025-0103,SECURITY ANALYSIS AND PORTFOLIO MANAGEMENT,2,Fall,2025-09-06,2025-09-07T02:11:48Z
RSM2302HF.2025-0108,SECURITY ANALYSIS AND PORTFOLIO MANAGEMENT,6,Fall,2025-09-06,2025-09-07T02:11:48Z
RSM2306HF.2025-0104,OPTIONS AND FUTURES MARKETS,5,Fall,2025-09-06,2025-09-07T02:11:48Z
RSM2312HY.2026-0104,VALUE INVESTING,2,Fall,2025-09-06,2025-09-07T02:11:48Z
RSM2314HF.2025-0103,PRIVATE EQUITY AND ENTREPRENEURIAL FINANCE,2,Fall,2025-09-06,2025-09-07T02:11:48Z
RSM2314HF.2025-0108,PRIVATE EQUITY AND ENTREPRENEURIAL FINANCE,4,Fall,2025-09-06,2025-09-07T02:11:48Z
RSM2329HF.2025-0101,BLOCKCHAIN AND DECENTRALIZED FINANCE,0,Fall,2025-09-06,2025-09-07T02:11:48Z
RSM2406HF.2025-0301,OPERATIONS MANAGEMENT STRATEGY,0,Fall,2025-09-06,2025-09-07T02:11:48Z
RSM2500HF.2025-0108,MARKETING STRATEGY,0,Fall,2025-09-06,2025-09-07T02:11:48Z
RSM2505HF.2025-0108,STRATEGIC MARKETING COMMUNICATION,0,Fall,2025-09-06,2025-09-07T02:11:48Z
RSM2508HF.2025-0104,SALES MANAGEMENT,0,Fall,2025-09-06,2025-09-07T02:11:48Z
RSM2511HF.2025-0108,FINTECH MARKETING: INNOVATION IN THE MARKETING OF FINANCIAL,0,Fall,2025-09-06,2025-09-07T02:11:48Z
RSM2517HF.2025-0104,FUTURES THINKING: DEVELOPING BUSINESS INSIGHT,0,Fall,2025-09-06,2025-09-07T02:11:48Z
RSM2603HF.2025-0301,ADVANCED NEGOTIATIONS AND CONFLICT MANAGEMENT,0,Fall,2025-09-06,2025-09-07T02:11:48Z
RSM2604HF.2025-0301,MANAGERIAL NEGOTIATIONS,4,Fall,2025-09-06,2025-09-07T02:11:48Z
RSM2609HF.2025-0103,ALIGNING PEOPLE AND STRATEGY,0,Fall,2025-09-06,2025-09-07T02:11:48Z
RSM2613HF.2025-0301,C-SUITE: LIVING OUT LEADERSHIP DAY TO DAY FOR ORGANIZATIONAL,0,Fall,2025-09-06,2025-09-07T02:11:48Z
RSM2621HF.2025-0301,EFFECTIVE LEADERSHIP,1,Fall,2025-09-06,2025-09-07T02:11:48Z
RSM2622HF.2025-0301,LEADERSHIP DEVELOPMENT LAB,8,Fall,2025-09-06,2025-09-07T02:11:48Z
RSM2700HF.2025-0102,INDEPENDENT STUDY PROJECT,0,Fall,2025-09-06,2025-09-07T02:11:48Z
RSM2701HF.2025-0102,GLOBAL CONSULTING PROJECT,1,Fall,2025-09-06,2025-09-07T02:11:48Z
RSM2702HY.2026-0104,ONBOARD,2,Fall,2025-09-06,2025-09-07T02:11:48Z
RSM2711HY.2026-0101,GLOBAL PRACTICUM: STRATEGY,13,Fall,2025-09-06,2025-09-07T02:11:48Z
RSM2712HY.2026-0101,GLOBAL PRACTICUM: SUSTAINABILITY AND STRATEGY,0,Fall,2025-09-06,2025-09-07T02:11:48Z
