course_code,course_name,wait_list_size_all_requests,course_type,date_pulled,datetime_pulled
RSM2058HS.2026-0203,COMMUNICATING STRATEGY,14,Winter Intensive,2025-11-29,2025-11-30T03:34:51Z
RSM2081HS.2026-0201,SOCIAL ENTREPRENEURSHIP,0,Winter Intensive,2025-11-29,2025-11-30T03:34:51Z
RSM2123HS.2026-0207,INTERNATIONAL BUSINESS IN THE WORLD ECONOMY,0,Winter Intensive,2025-11-29,2025-11-30T03:34:51Z
RSM2126HS.2026-0208,REAL ESTATE DEVELOPMENT,0,Winter Intensive,2025-11-29,2025-11-30T03:34:51Z
RSM2211HS.2026-0201,BUSINESS LAW,0,Winter Intensive,2025-11-29,2025-11-30T03:34:51Z
RSM2326HS.2026-0208,HOW BANKS WORK: MANAGEMENT IN A NEW TECHNOLOGICAL AGE,14,Winter Intensive,2025-11-29,2025-11-30T03:34:51Z
RSM2604HS.2026-0201,MANAGERIAL NEGOTIATIONS,0,Winter Intensive,2025-11-29,2025-11-30T03:34:51Z
RSM2913HS.2026-0201,GETTING IT DONE,0,Winter Intensive,2025-11-29,2025-11-30T03:34:51Z
RSM2011HS.2026-0102,INTERNATIONAL STRATEGY,0,spring,2025-11-29,2025-11-30T03:34:51Z
RSM2023HS.2026-0103,STRATEGIC CHANGE AND IMPLEMENTATION,0,spring,2025-11-29,2025-11-30T03:34:51Z
RSM2023HS.2026-0107,STRATEGIC CHANGE AND IMPLEMENTATION,0,spring,2025-11-29,2025-11-30T03:34:51Z
RSM2030HS.2026-0104,CANADIAN BUSINESS HISTORY,0,spring,2025-11-29,2025-11-30T03:34:51Z
RSM2054HS.2026-0104,TECHNOLOGY STRATEGY,0,spring,2025-11-29,2025-11-30T03:34:51Z
RSM2061HS.2026-0301,STRATEGIC NETWORKS,15,spring,2025-11-29,2025-11-30T03:34:51Z
RSM2085HS.2026-0108,HEALTHCARE INNOVATION,0,spring,2025-11-29,2025-11-30T03:34:51Z
RSM2125HS.2026-0101,GAME THEORY AND APPLICATIONS FOR MANAGEMENT,0,spring,2025-11-29,2025-11-30T03:34:51Z
RSM2130HS.2026-0104,REAL ESTATE INVESTMENT,0,spring,2025-11-29,2025-11-30T03:34:51Z
RSM2209HS.2026-0104,FINANCIAL STATEMENT ANALYSIS,0,spring,2025-11-29,2025-11-30T03:34:51Z
RSM2209HS.2026-0108,FINANCIAL STATEMENT ANALYSIS,0,spring,2025-11-29,2025-11-30T03:34:51Z
RSM2301HS.2026-0108,FINANCIAL MANAGEMENT,0,spring,2025-11-29,2025-11-30T03:34:51Z
RSM2303HS.2026-0107,RISK MODELLING AND FINANCIAL TRADING STRATEGIES,1,spring,2025-11-29,2025-11-30T03:34:51Z
RSM2308HS.2026-0108,RISK MANAGEMENT AND FINANCIAL INSTITUTIONS,0,spring,2025-11-29,2025-11-30T03:34:51Z
RSM2309HS.2026-0104,MERGERS AND ACQUISITIONS,0,spring,2025-11-29,2025-11-30T03:34:51Z
RSM2309HS.2026-0108,MERGERS AND ACQUISITIONS,3,spring,2025-11-29,2025-11-30T03:34:51Z
RSM2319HS.2026-0108,FINTECH,3,spring,2025-11-29,2025-11-30T03:34:51Z
