course_code,course_name,wait_list_size_all_requests,course_type,date_pulled,datetime_pulled
RSM2017HY.2026-0108,PHARMACEUTICAL STRATEGY,0,summer,2026-07-12,2026-07-13T02:41:35Z
RSM2061HY.2026-0301,STRATEGIC NETWORKS,0,summer,2026-07-12,2026-07-13T02:41:35Z
RSM2083HY.2026-0108,SPECIAL TOPICS IN STRATEGIC MANAGEMENT,0,summer,2026-07-12,2026-07-13T02:41:35Z
RSM2123HY.2026-0301,INTERNATIONAL BUSINESS IN THE WORLD ECONOMY,2,summer,2026-07-12,2026-07-13T02:41:35Z
RSM2132HY.2026-0301,BUSINESS AND THE CITY,0,summer,2026-07-12,2026-07-13T02:41:35Z
RSM2220HY.2026-0301,WHITE COLLAR CRIME: CREATIVE ACCOUNTING AND CORPORATE FRAUD,21,summer,2026-07-12,2026-07-13T02:41:35Z
RSM2313HY.2026-0108,SUSTAINABLE FINANCE,0,summer,2026-07-12,2026-07-13T02:41:35Z
RSM2401HY.2026-0104,DATA AND INFORMATION MANAGEMENT FOR BUSINESS,0,summer,2026-07-12,2026-07-13T02:41:35Z
RSM2525HY.2026-0108,ONE TO ONE MARKETING,0,summer,2026-07-12,2026-07-13T02:41:35Z
RSM2526HY.2026-0301,CREATIVE THINKING FOR BUSINESS INNOVATION,0,summer,2026-07-12,2026-07-13T02:41:35Z
RSM2604HY.2026-0301,MANAGERIAL NEGOTIATIONS,9,summer,2026-07-12,2026-07-13T02:41:35Z
RSM2618HY.2026-0301,SOCIALLY INTELLIGENT MANAGER,2,summer,2026-07-12,2026-07-13T02:41:35Z
RSM2621HY.2026-0301,EFFECTIVE LEADERSHIP,13,summer,2026-07-12,2026-07-13T02:41:35Z
RSM2700HY.2026-0701,INDEPENDENT STUDY PROJECT,1,summer,2026-07-12,2026-07-13T02:41:35Z
RSM2700HY.2026-0702,INDEPENDENT STUDY PROJECT,0,summer,2026-07-12,2026-07-13T02:41:35Z
RSM2711HY.2026-0701,GLOBAL PRACTICUM: STRATEGY,0,summer,2026-07-12,2026-07-13T02:41:35Z
RSM2798HY.2026-0101,SPECIAL TOPICS IN EXPERIENTIAL LEARNING,0,summer,2026-07-12,2026-07-13T02:41:35Z
